Slope_Pct,Aspect,Tri_Index,Node_Index,TinNod.xyz
4.772607021,257.9052429,2004,1005,"318510.22,2901248.82,187"
4.772607021,257.9052429,2004,778,"318810.22,2901248.82,201"
4.772607021,257.9052429,2004,1011,"318510.22,2900948.82,184"
7.731609003,97.43140797,2015,785,"318210.22,2900948.82,207"
7.731609003,97.43140797,2015,1005,"318510.22,2901248.82,187"
7.731609003,97.43140797,2015,1011,"318510.22,2900948.82,184"
7.666666667,90,1549,785,"318210.22,2900948.82,207"
7.666666667,90,1549,1011,"318510.22,2900948.82,184"
7.666666667,90,1549,1202,"318210.22,2900648.82,207"
7.666666667,270,2032,785,"318210.22,2900948.82,207"
7.666666667,270,2032,1202,"318210.22,2900648.82,207"
7.666666667,270,2032,1019,"317910.22,2900648.82,184"
12.07844729,320.5993393,2397,1202,"318210.22,2900648.82,207"
12.07844729,320.5993393,2397,1019,"317910.22,2900648.82,184"
12.07844729,320.5993393,2397,547,"317910.22,2900348.82,212"
9.480975102,349.8753283,2396,1019,"317910.22,2900648.82,184"
9.480975102,349.8753283,2396,547,"317910.22,2900348.82,212"
9.480975102,349.8753283,2396,1201,"317610.22,2900648.82,179"
7.951240295,303.0238676,2031,547,"317910.22,2900348.82,212"
7.951240295,303.0238676,2031,1201,"317610.22,2900648.82,179"
7.951240295,303.0238676,2031,1209,"317610.22,2900348.82,192"
6.12825877,45,2411,1201,"317610.22,2900648.82,179"
6.12825877,45,2411,1209,"317610.22,2900348.82,192"
6.12825877,45,2411,1029,"317310.22,2900348.82,205"
6.565905201,23.96248897,2051,1201,"317610.22,2900648.82,179"
6.565905201,23.96248897,2051,1029,"317310.22,2900348.82,205"
6.565905201,23.96248897,2051,1200,"317310.22,2900648.82,187"
6.565905201,23.96248897,2393,1029,"317310.22,2900348.82,205"
6.565905201,23.96248897,2393,1200,"317310.22,2900648.82,187"
6.565905201,23.96248897,2393,1199,"317010.22,2900648.82,195"
4.533823503,143.9726266,2384,1196,"317310.22,2900948.82,198"
4.533823503,143.9726266,2384,1200,"317310.22,2900648.82,187"
4.533823503,143.9726266,2384,1199,"317010.22,2900648.82,195"
2.40370085,303.6900675,2052,1028,"317010.22,2900348.82,199"
2.40370085,303.6900675,2052,1029,"317310.22,2900348.82,205"
2.40370085,303.6900675,2052,1199,"317010.22,2900648.82,195"
9.219544457,192.5288077,1068,1028,"317010.22,2900348.82,199"
9.219544457,192.5288077,1068,1029,"317310.22,2900348.82,205"
9.219544457,192.5288077,1068,808,"317310.22,2900048.82,178"
13.45362405,228.0127875,1610,1029,"317310.22,2900348.82,205"
13.45362405,228.0127875,1610,808,"317310.22,2900048.82,178"
13.45362405,228.0127875,1610,1038,"317610.22,2900048.82,208"
10.13793755,279.4623222,2069,808,"317310.22,2900048.82,178"
10.13793755,279.4623222,2069,1038,"317610.22,2900048.82,208"
